epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4464,0.86889,3.61569,1.04937,0.01086,0.8381,0.27776,0.21113,0.68988,3.19775,0.90474,0.00014994,0.00014994,0.00014994
2,18.6616,0.87281,2.34175,1.01381,0.98832,0.05522,0.63658,0.48468,0.76812,2.54692,0.9286,0.000302107,0.000302107,0.000302107
3,27.0134,0.87922,1.69374,1.02644,0.92279,0.50831,0.66524,0.53216,0.80356,2.0004,0.95721,0.000448007,0.000448007,0.000448007
4,34.9873,0.8518,1.45951,0.99731,0.80167,0.73892,0.90027,0.66127,0.82574,1.26067,0.95233,0.00058764,0.00058764,0.00058764
5,42.6749,0.861,1.35514,1.008,0.86302,0.78108,0.89596,0.66154,0.81134,1.15725,0.9426,0.000721005,0.000721005,0.000721005
6,50.4428,0.85342,1.21499,0.98513,0.78349,0.81436,0.87686,0.66214,0.81387,1.31031,0.96824,0.000750533,0.000750533,0.000750533
7,58.177,0.84212,1.12805,0.99202,0.83286,0.90277,0.90792,0.67756,0.8058,1.06934,0.98157,0.00073404,0.00073404,0.00073404
8,65.8896,0.81815,1.16171,0.9962,0.82968,0.94431,0.93436,0.69083,0.81491,1.13408,0.95364,0.000717546,0.000717546,0.000717546
9,73.5299,0.83859,1.12769,0.99412,0.86863,0.93519,0.93934,0.70242,0.8393,0.96388,0.95255,0.000701053,0.000701053,0.000701053
10,81.1516,0.76393,1.04664,0.96173,0.93059,0.92947,0.9483,0.7298,0.76204,0.77607,0.93176,0.000684559,0.000684559,0.000684559
11,88.7626,0.80596,1.04987,0.95692,0.93041,0.94456,0.95567,0.75368,0.70324,0.71472,0.91101,0.000668066,0.000668066,0.000668066
12,96.5793,0.77526,1.01889,0.97625,0.93202,0.93307,0.9551,0.73316,0.73471,0.74607,0.91377,0.000651573,0.000651573,0.000651573
13,104.26,0.77685,1.03533,0.97338,0.90724,0.94625,0.95614,0.74726,0.71448,0.69144,0.90171,0.000635079,0.000635079,0.000635079
14,111.911,0.74366,0.95204,0.95425,0.9182,0.93324,0.95114,0.73253,0.73393,0.75714,0.91253,0.000618586,0.000618586,0.000618586
15,119.601,0.75781,0.91927,0.95253,0.9383,0.95192,0.95564,0.73525,0.76056,0.62822,0.91688,0.000602092,0.000602092,0.000602092
16,127.421,0.7391,0.9136,0.94649,0.92829,0.93844,0.96239,0.73505,0.76374,0.68329,0.92443,0.000585599,0.000585599,0.000585599
17,135.233,0.75851,0.86503,0.96463,0.90837,0.94045,0.95018,0.74065,0.71811,0.64214,0.90928,0.000569106,0.000569106,0.000569106
18,142.878,0.73193,0.88061,0.95815,0.93337,0.96072,0.95891,0.72499,0.7801,0.65563,0.91057,0.000552612,0.000552612,0.000552612
19,150.652,0.73023,0.84488,0.93981,0.91949,0.93207,0.94869,0.73535,0.75885,0.6431,0.90316,0.000536119,0.000536119,0.000536119
20,158.334,0.75356,0.8526,0.9634,0.93282,0.93395,0.94924,0.71574,0.7918,0.63672,0.92244,0.000519625,0.000519625,0.000519625
21,165.901,0.71797,0.83337,0.94436,0.93344,0.95939,0.95715,0.73442,0.74777,0.61605,0.9035,0.000503132,0.000503132,0.000503132
22,173.558,0.72565,0.84386,0.95166,0.9273,0.94719,0.95555,0.74554,0.73062,0.61068,0.90455,0.000486639,0.000486639,0.000486639
23,181.271,0.72216,0.80034,0.93334,0.92787,0.952,0.95413,0.74668,0.72525,0.5829,0.90263,0.000470145,0.000470145,0.000470145
24,188.918,0.71558,0.79153,0.94443,0.93981,0.96043,0.9515,0.7496,0.69798,0.56749,0.89568,0.000453652,0.000453652,0.000453652
25,196.609,0.6906,0.78565,0.94507,0.92755,0.95355,0.94931,0.75814,0.67965,0.54628,0.88395,0.000437158,0.000437158,0.000437158
26,204.364,0.67828,0.74988,0.92591,0.93452,0.94565,0.94943,0.7482,0.70023,0.54063,0.8957,0.000420665,0.000420665,0.000420665
27,212.003,0.69216,0.74545,0.94559,0.92791,0.95537,0.95408,0.7518,0.69962,0.54487,0.88989,0.000404172,0.000404172,0.000404172
28,219.609,0.69273,0.72327,0.93489,0.93866,0.96278,0.95209,0.75319,0.70319,0.53693,0.8895,0.000387678,0.000387678,0.000387678
29,227.183,0.67507,0.70819,0.92186,0.92746,0.96227,0.95599,0.76036,0.68581,0.53447,0.88421,0.000371185,0.000371185,0.000371185
30,234.816,0.65616,0.70934,0.91738,0.93189,0.95854,0.95057,0.74674,0.70278,0.52616,0.88641,0.000354691,0.000354691,0.000354691
31,242.444,0.67573,0.68357,0.92088,0.93264,0.95482,0.94723,0.74426,0.72571,0.55119,0.89145,0.000338198,0.000338198,0.000338198
32,250.304,0.63325,0.69137,0.91949,0.93487,0.95779,0.95105,0.74973,0.70036,0.52488,0.89507,0.000321705,0.000321705,0.000321705
33,257.851,0.63743,0.66694,0.90716,0.92835,0.95578,0.94707,0.76108,0.67505,0.52105,0.88054,0.000305211,0.000305211,0.000305211
34,265.644,0.67065,0.69238,0.93611,0.93544,0.96278,0.95393,0.76247,0.68294,0.52213,0.87586,0.000288718,0.000288718,0.000288718
35,273.311,0.64225,0.64727,0.91045,0.94014,0.96278,0.95263,0.76277,0.65957,0.49919,0.87706,0.000272224,0.000272224,0.000272224
36,280.935,0.64544,0.67223,0.91865,0.94069,0.95768,0.95385,0.76072,0.67253,0.48647,0.87938,0.000255731,0.000255731,0.000255731
37,288.489,0.65252,0.67331,0.91657,0.94175,0.95441,0.96214,0.76768,0.66742,0.49222,0.88071,0.000239238,0.000239238,0.000239238
38,296.141,0.6075,0.61208,0.90381,0.94316,0.95109,0.96317,0.7695,0.66625,0.47626,0.87617,0.000222744,0.000222744,0.000222744
39,303.765,0.61224,0.61924,0.91056,0.9396,0.96017,0.96202,0.77037,0.6683,0.46593,0.87559,0.000206251,0.000206251,0.000206251
40,311.346,0.61522,0.6173,0.9078,0.94136,0.96277,0.9644,0.76765,0.68375,0.46278,0.87891,0.000189757,0.000189757,0.000189757
41,357.657,0.58827,0.71638,0.8854,0.9378,0.95535,0.96477,0.76906,0.67735,0.47709,0.87694,0.000173264,0.000173264,0.000173264
42,365.37,0.54854,0.68478,0.86974,0.93815,0.96807,0.96595,0.77198,0.67521,0.46146,0.87408,0.000156771,0.000156771,0.000156771
43,372.89,0.53987,0.62965,0.86709,0.94499,0.96695,0.96147,0.76496,0.69866,0.46045,0.87889,0.000140277,0.000140277,0.000140277
44,380.535,0.56394,0.63858,0.87762,0.93622,0.96605,0.95249,0.75017,0.6852,0.47597,0.87706,0.000123784,0.000123784,0.000123784
45,388.033,0.53912,0.63662,0.86023,0.92609,0.96447,0.95474,0.76497,0.68556,0.47445,0.87496,0.00010729,0.00010729,0.00010729
46,395.617,0.50151,0.60757,0.85287,0.93229,0.96847,0.95245,0.75957,0.66285,0.45602,0.87276,9.0797e-05,9.0797e-05,9.0797e-05
47,403.158,0.51951,0.60522,0.85212,0.93165,0.96861,0.95063,0.76506,0.64543,0.44775,0.86994,7.43036e-05,7.43036e-05,7.43036e-05
48,410.884,0.51117,0.62288,0.8609,0.93834,0.96692,0.95219,0.76522,0.64978,0.44101,0.87018,5.78102e-05,5.78102e-05,5.78102e-05
49,418.425,0.49891,0.59184,0.85647,0.93945,0.96643,0.95289,0.7691,0.6521,0.4404,0.86995,4.13168e-05,4.13168e-05,4.13168e-05
50,426.049,0.52622,0.59563,0.86277,0.94098,0.96639,0.95247,0.77533,0.65514,0.44082,0.8694,2.48234e-05,2.48234e-05,2.48234e-05
