epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.16106,1.11222,3.65757,1.19435,0.01113,0.81786,0.24796,0.18753,0.8065,3.51451,1.00563,9e-05,9e-05,9e-05
2,12.3068,1.11092,2.79414,1.2019,0.01441,0.83651,0.44295,0.32379,0.89141,3.25621,1.01672,0.000186238,0.000186238,0.000186238
3,16.7159,1.04038,2.21788,1.12598,1,0.15599,0.59881,0.45077,0.87804,2.85754,0.98254,0.000278516,0.000278516,0.000278516
4,20.9913,1.04716,1.78137,1.13128,0.80884,0.37035,0.70617,0.53578,0.92242,2.39478,0.97003,0.000366834,0.000366834,0.000366834
5,25.2021,1.0533,1.66149,1.12536,0.92498,0.51208,0.77545,0.54499,1.01464,2.14042,1.01292,0.000451192,0.000451192,0.000451192
6,29.6183,1.03683,1.4615,1.07771,0.89689,0.64401,0.81139,0.59463,0.96569,1.85978,0.99917,0.00053159,0.00053159,0.00053159
7,33.8982,1.00759,1.43773,1.08591,0.91153,0.63716,0.86035,0.58318,1.11157,1.76631,1.0701,0.000608028,0.000608028,0.000608028
8,38.164,1.01815,1.44658,1.12101,0.81006,0.59242,0.8445,0.61439,1.02826,1.79704,1.02525,0.000680506,0.000680506,0.000680506
9,42.4559,1.0483,1.37564,1.09852,0.83929,0.74516,0.88657,0.61916,1.01214,1.45836,1.02171,0.000749024,0.000749024,0.000749024
10,46.6232,0.97853,1.30859,1.05333,0.84167,0.74123,0.88334,0.61417,1.01099,1.35283,1.02901,0.000813582,0.000813582,0.000813582
11,50.7957,0.95457,1.27702,1.07412,0.76178,0.83264,0.89943,0.63183,0.97715,1.31047,1.01926,0.000802,0.000802,0.000802
12,54.9572,0.99148,1.21897,1.07601,0.75199,0.81516,0.88014,0.6319,0.99436,1.31844,1.01406,0.0007822,0.0007822,0.0007822
13,59.1033,0.95452,1.20073,1.04732,0.84847,0.87651,0.91924,0.65317,0.98529,1.12233,1.02633,0.0007624,0.0007624,0.0007624
14,63.2588,0.91293,1.14218,1.02135,0.89972,0.89463,0.92029,0.63702,1.03234,1.06519,1.02391,0.0007426,0.0007426,0.0007426
15,67.3626,0.93921,1.10883,1.03941,0.90822,0.89844,0.93727,0.65467,1.01485,1.11357,1.02057,0.0007228,0.0007228,0.0007228
16,71.5242,0.93511,1.17623,1.06283,0.88502,0.90483,0.90497,0.65031,1.01145,1.08109,1.04088,0.000703,0.000703,0.000703
17,75.7144,0.92573,1.11252,1.04168,0.91961,0.90421,0.92628,0.68181,0.99395,1.00236,1.04317,0.0006832,0.0006832,0.0006832
18,79.9869,0.94855,1.13963,1.04979,0.89757,0.91223,0.92729,0.68123,0.99047,1.01099,1.01428,0.0006634,0.0006634,0.0006634
19,84.1748,0.90869,1.10572,1.04689,0.88008,0.89725,0.91262,0.66984,0.97973,1.00986,1.0251,0.0006436,0.0006436,0.0006436
20,88.3916,0.9081,1.05482,1.02365,0.92097,0.76258,0.9124,0.63253,1.03222,1.13259,1.08433,0.0006238,0.0006238,0.0006238
21,92.5861,0.90098,1.00411,1.02182,0.89299,0.8389,0.90779,0.65376,0.98554,1.17809,1.05242,0.000604,0.000604,0.000604
22,96.7971,0.92549,1.01482,1.01544,0.91354,0.91162,0.91454,0.68999,0.90504,1.14353,1.0241,0.0005842,0.0005842,0.0005842
23,100.973,0.86415,1.018,1.01218,0.90546,0.92725,0.93149,0.66971,1.00353,1.12816,1.05446,0.0005644,0.0005644,0.0005644
24,105.134,0.91064,1.00968,1.05483,0.94371,0.93981,0.93644,0.69258,0.9539,0.96708,1.04529,0.0005446,0.0005446,0.0005446
25,109.268,0.8487,0.95737,1.01544,0.92593,0.92952,0.9339,0.68822,0.92954,0.87799,1.0181,0.0005248,0.0005248,0.0005248
26,113.421,0.80717,0.94886,1.01761,0.93783,0.95417,0.94174,0.7108,0.87023,0.811,0.98067,0.000505,0.000505,0.000505
27,117.579,0.80203,0.94717,1.00493,0.93833,0.95303,0.94938,0.71362,0.89551,0.7936,0.97368,0.0004852,0.0004852,0.0004852
28,121.865,0.83226,0.92775,0.99038,0.96124,0.94329,0.95534,0.72028,0.8814,0.79252,0.96278,0.0004654,0.0004654,0.0004654
29,126.029,0.82518,0.93941,1.00336,0.96371,0.94522,0.9548,0.72656,0.88228,0.77727,0.95998,0.0004456,0.0004456,0.0004456
30,130.226,0.82299,0.91553,1.01361,0.95505,0.93925,0.95349,0.72328,0.84205,0.77901,0.94926,0.0004258,0.0004258,0.0004258
31,134.322,0.79906,0.96013,0.98712,0.94449,0.94816,0.95732,0.72921,0.82507,0.78766,0.94108,0.000406,0.000406,0.000406
32,138.434,0.8087,0.8874,1.0244,0.92527,0.95047,0.96322,0.72343,0.86178,0.77071,0.95494,0.0003862,0.0003862,0.0003862
33,142.6,0.82474,0.90497,0.97477,0.94302,0.94744,0.95917,0.70737,0.86785,0.7489,0.96796,0.0003664,0.0003664,0.0003664
34,146.798,0.81008,0.87118,0.99457,0.9486,0.94667,0.95406,0.72078,0.8636,0.74411,0.96331,0.0003466,0.0003466,0.0003466
35,150.979,0.79044,0.86197,0.98718,0.94568,0.94765,0.95979,0.73684,0.84604,0.74513,0.95408,0.0003268,0.0003268,0.0003268
36,155.259,0.79816,0.90553,1.00063,0.96215,0.93951,0.96327,0.7313,0.85565,0.71976,0.95885,0.000307,0.000307,0.000307
37,159.355,0.77578,0.85456,0.98959,0.95783,0.93818,0.9633,0.74221,0.8406,0.70338,0.95615,0.0002872,0.0002872,0.0002872
38,163.526,0.77375,0.85272,0.99791,0.95944,0.94524,0.96012,0.74605,0.83424,0.6984,0.9558,0.0002674,0.0002674,0.0002674
39,167.752,0.75895,0.80033,0.97997,0.96247,0.9479,0.95515,0.74445,0.82452,0.69545,0.95094,0.0002476,0.0002476,0.0002476
40,171.938,0.77044,0.80766,0.98098,0.95987,0.94347,0.95421,0.73104,0.83088,0.68462,0.949,0.0002278,0.0002278,0.0002278
41,220.048,0.69125,0.9339,0.97123,0.95699,0.94336,0.95403,0.73303,0.83106,0.69141,0.9456,0.000208,0.000208,0.000208
42,224.338,0.71203,0.89355,0.92484,0.96069,0.95059,0.95889,0.73214,0.83192,0.7618,0.94357,0.0001882,0.0001882,0.0001882
43,228.432,0.68655,0.92707,0.94934,0.96124,0.95747,0.96221,0.74037,0.82268,0.74244,0.93808,0.0001684,0.0001684,0.0001684
44,232.642,0.63245,0.91424,0.9058,0.95576,0.95614,0.96403,0.75281,0.81083,0.6731,0.9358,0.0001486,0.0001486,0.0001486
45,236.754,0.62876,0.83331,0.92965,0.96183,0.95445,0.96325,0.74495,0.80216,0.6556,0.93298,0.0001288,0.0001288,0.0001288
46,240.974,0.69049,0.86607,0.9212,0.96975,0.95059,0.9596,0.75161,0.79066,0.65725,0.93057,0.000109,0.000109,0.000109
47,245.104,0.65362,0.85931,0.91901,0.96317,0.94795,0.95985,0.75257,0.78976,0.65739,0.92919,8.92e-05,8.92e-05,8.92e-05
48,249.195,0.62779,0.82323,0.91179,0.95397,0.95059,0.95959,0.74011,0.80079,0.67025,0.93272,6.94e-05,6.94e-05,6.94e-05
49,253.302,0.61481,0.81246,0.92538,0.95862,0.95255,0.95967,0.74555,0.79781,0.66688,0.93173,4.96e-05,4.96e-05,4.96e-05
50,257.502,0.65402,0.79556,0.90994,0.95996,0.95263,0.95898,0.74934,0.78871,0.66502,0.92915,2.98e-05,2.98e-05,2.98e-05
