epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50871,1.44118,3.35975,1.28065,0.00292,0.875,0.25279,0.16499,1.03147,3.47857,1.12296,2e-05,2e-05,2e-05
2,4.80666,1.40103,3.41441,1.27213,0.00292,0.875,0.23898,0.15688,1.09562,3.51944,1.13333,5.802e-05,5.802e-05,5.802e-05
3,5.62206,1.40049,3.2911,1.35336,0.00292,0.875,0.26337,0.17459,1.13597,3.52962,1.16592,9.34e-05,9.34e-05,9.34e-05
4,6.54287,1.23412,3.33209,1.20681,0.00333,1,0.40348,0.20647,0.9039,3.35105,1.04921,0.00012614,0.00012614,0.00012614
5,7.64642,1.03355,2.51538,1.16149,0.00333,1,0.47024,0.29394,0.81829,3.22409,0.9686,0.00015624,0.00015624,0.00015624
6,8.74711,1.13067,2.10212,1.12223,0.00333,1,0.47347,0.29314,1.02696,3.19106,0.98157,0.0001837,0.0001837,0.0001837
7,9.90373,1.21461,1.93282,1.18961,0.00333,1,0.48609,0.21795,1.11713,3.24796,1.01686,0.00020852,0.00020852,0.00020852
8,10.8934,1.03395,1.83021,1.10146,0.00333,1,0.74962,0.39105,1.08444,3.35153,0.95164,0.0002307,0.0002307,0.0002307
9,12.0068,1.16016,1.97912,1.14344,0.00333,1,0.80694,0.47361,1.10324,3.27108,0.97943,0.00025024,0.00025024,0.00025024
10,12.9706,1.09011,1.93938,1.13637,0.00333,1,0.79528,0.48828,1.14744,3.25768,1.00209,0.00026714,0.00026714,0.00026714
11,14.0061,1.03888,1.73223,1.01773,0.00333,1,0.80983,0.52564,1.20096,3.24462,1.03658,0.0002814,0.0002814,0.0002814
12,15.0894,0.97884,1.72506,1.07267,0.00333,1,0.85394,0.49814,1.18322,3.14531,1.08728,0.00029302,0.00029302,0.00029302
13,16.1326,1.11362,1.75013,1.06004,0.00333,1,0.84324,0.48849,1.17756,3.14043,1.08555,0.000302,0.000302,0.000302
14,17.1924,1.03876,1.66167,1.04652,0.00333,1,0.87774,0.53019,1.16756,3.05232,1.14337,0.00030834,0.00030834,0.00030834
15,18.2699,1.09849,1.69797,1.06207,0.00333,1,0.88785,0.52543,1.08578,2.99903,1.18663,0.00031204,0.00031204,0.00031204
16,19.2977,1.14013,1.59474,1.15703,0.00614,1,0.89173,0.59577,0.99592,2.95225,1.11944,0.0003131,0.0003131,0.0003131
17,20.3293,0.93494,1.50568,1.05461,0.16001,1,0.92275,0.64388,0.82746,2.94573,0.95563,0.00031152,0.00031152,0.00031152
18,21.373,0.86388,1.5826,1.03282,0.48097,0.875,0.91875,0.6447,0.80971,2.9018,0.92007,0.0003073,0.0003073,0.0003073
19,22.45,1.0505,1.8175,1.17234,1,0.33466,0.86997,0.6067,0.94947,2.92965,0.95841,0.00030044,0.00030044,0.00030044
20,23.4941,0.85808,1.55309,1.06899,1,0.3241,0.86744,0.55146,1.05348,2.96105,0.9733,0.00029094,0.00029094,0.00029094
21,48.6033,0.97378,2.23126,1.08547,1,0.26461,0.90928,0.60513,1.10876,2.9917,1.01754,0.0002788,0.0002788,0.0002788
22,49.7112,0.90361,2.13065,1.01326,1,0.35193,0.939,0.62505,1.1541,3.08391,1.02287,0.00026402,0.00026402,0.00026402
23,50.7146,0.92448,2.00927,1.00999,0.91274,0.875,0.955,0.68394,1.03676,3.06182,1.00672,0.0002466,0.0002466,0.0002466
24,51.7628,1.02387,2.0226,1.03304,0.88846,0.99611,0.96722,0.67514,1.03398,3.03991,1.01974,0.00022654,0.00022654,0.00022654
25,52.7621,0.88555,2.04599,1.00908,1,0.8587,0.98167,0.70174,0.91842,2.99583,1.00764,0.00020384,0.00020384,0.00020384
26,53.8169,0.83045,2.09828,1.00967,1,0.6031,0.96722,0.67591,0.88531,2.88891,0.99259,0.0001785,0.0001785,0.0001785
27,54.8579,0.84924,1.80245,1.00544,1,0.58613,0.96722,0.62724,0.91891,2.83189,0.96935,0.00015052,0.00015052,0.00015052
28,55.8466,0.82376,1.81213,0.95355,1,0.58613,0.96722,0.62724,0.91891,2.83189,0.96935,0.0001199,0.0001199,0.0001199
29,56.7292,0.7733,1.85102,0.9807,1,0.60695,0.96722,0.63297,0.93304,2.81041,0.9236,8.664e-05,8.664e-05,8.664e-05
30,57.7743,0.84751,1.85305,1.00701,1,0.62186,0.971,0.63249,0.90196,2.75682,0.90575,5.074e-05,5.074e-05,5.074e-05
