epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1909,1.13583,3.63435,1.20202,0.00536,0.62901,0.1467,0.11298,0.93834,3.34481,1.08681,5e-05,5e-05,5e-05
2,8.49219,1.11416,3.52803,1.17377,0.00731,0.81818,0.33705,0.19996,0.91313,3.30193,1.04125,0.000110272,0.000110272,0.000110272
3,11.0335,1.07739,2.81349,1.11974,1,0.06907,0.39729,0.21874,0.96054,3.0375,1.0585,0.00016807,0.00016807,0.00016807
4,13.5453,1.14941,2.2736,1.13885,0.01073,0.88636,0.5763,0.37622,0.99369,2.91309,1.06795,0.000223392,0.000223392,0.000223392
5,15.9773,1.05104,1.75883,1.08016,1,0.13666,0.61666,0.41493,1.0115,2.7379,1.02623,0.00027624,0.00027624,0.00027624
6,18.4108,0.97599,1.64792,1.05677,0.95389,0.56927,0.64017,0.44739,1.02935,2.67096,1.04298,0.000326613,0.000326613,0.000326613
7,20.9479,1.02078,1.6617,1.09842,0.9731,0.34742,0.67315,0.4391,1.17053,2.54645,1.04216,0.00037451,0.00037451,0.00037451
8,23.3145,1.01564,1.4102,1.06301,1,0.21166,0.68025,0.476,1.05785,2.53994,1.01146,0.000419932,0.000419932,0.000419932
9,25.7381,1.06657,1.55047,1.11854,0.93304,0.43944,0.68065,0.45308,1.2177,2.44832,1.07623,0.00046288,0.00046288,0.00046288
10,28.0592,1.11157,1.41104,1.08877,0.88565,0.48568,0.65251,0.46415,1.08356,2.38716,1.03798,0.000503353,0.000503353,0.000503353
11,30.4375,1.01,1.33809,1.06768,0.83611,0.44837,0.60926,0.43456,1.07117,2.33697,1.05067,0.00054135,0.00054135,0.00054135
12,32.8874,1.03357,1.2812,1.0547,0.93359,0.52458,0.72565,0.52606,1.09598,2.20126,1.05933,0.000576873,0.000576873,0.000576873
13,35.2379,0.95374,1.2831,1.01059,0.93319,0.57608,0.71607,0.52691,1.05519,2.15004,1.05402,0.00060992,0.00060992,0.00060992
14,37.5855,1.07642,1.29315,1.08689,0.86802,0.57468,0.78254,0.52565,1.19683,1.99948,1.1004,0.000640492,0.000640492,0.000640492
15,40.0069,1.00203,1.21053,1.04796,0.94333,0.61411,0.84128,0.57992,1.11883,1.90555,1.15277,0.00066859,0.00066859,0.00066859
16,42.355,1.02686,1.2736,1.05688,0.90815,0.60439,0.77143,0.53919,1.08618,1.93472,1.13532,0.000694212,0.000694212,0.000694212
17,44.7489,1.1008,1.37696,1.08449,0.76418,0.59703,0.70879,0.49482,1.15392,1.99856,1.13351,0.00071736,0.00071736,0.00071736
18,47.0254,0.99046,1.24082,1.02145,0.73703,0.65597,0.7223,0.51585,1.17736,1.96248,1.15761,0.000738032,0.000738032,0.000738032
19,49.397,0.97562,1.19993,1.0411,0.75321,0.73574,0.81469,0.58686,1.13789,1.77933,1.13775,0.00075623,0.00075623,0.00075623
20,51.8257,0.96669,1.21173,1.02586,0.69304,0.83546,0.79054,0.58442,1.05914,1.66274,1.09956,0.000771953,0.000771953,0.000771953
21,54.2431,0.96022,1.17298,1.02523,0.71002,0.83892,0.859,0.61163,1.06999,1.58347,1.10566,0.000755,0.000755,0.000755
22,56.5977,0.98449,1.25022,1.04281,0.73419,0.86929,0.86164,0.60178,1.08554,1.55965,1.10924,0.00073025,0.00073025,0.00073025
23,58.9334,0.99744,1.1197,1.02876,0.75719,0.87669,0.82527,0.60847,1.07779,1.49419,1.1122,0.0007055,0.0007055,0.0007055
24,61.2884,0.9791,1.15506,1.05008,0.8923,0.94518,0.93841,0.67955,1.02007,1.18208,1.07225,0.00068075,0.00068075,0.00068075
25,63.6555,0.92135,1.0655,1.01277,0.91335,0.95833,0.9484,0.68235,1.03147,1.10843,1.06991,0.000656,0.000656,0.000656
26,66.077,0.94372,1.1135,1.03005,0.88404,0.94518,0.94732,0.67278,1.0536,1.07459,1.06715,0.00063125,0.00063125,0.00063125
27,68.4212,0.95081,1.07448,1.00235,0.90424,0.86982,0.91302,0.64068,1.06745,1.16521,1.08235,0.0006065,0.0006065,0.0006065
28,70.8387,0.91004,1.1701,1.02657,0.80724,0.93216,0.88876,0.6413,1.05609,1.21001,1.07227,0.00058175,0.00058175,0.00058175
29,73.1507,0.98304,1.20268,1.06702,0.81387,0.93088,0.88484,0.63597,1.05743,1.2635,1.0742,0.000557,0.000557,0.000557
30,75.4525,0.902,1.12528,1.02639,0.83544,0.92275,0.87093,0.62793,1.07275,1.39046,1.05205,0.00053225,0.00053225,0.00053225
31,77.7385,0.89702,1.10912,1.01153,0.86266,0.86828,0.89979,0.64491,0.99491,1.1576,1.04231,0.0005075,0.0005075,0.0005075
32,80.1332,0.91328,1.07452,1.01138,0.94939,0.88962,0.93886,0.65328,1.05928,1.00366,1.02515,0.00048275,0.00048275,0.00048275
33,82.4401,0.91535,1.0768,1.00148,0.92173,0.8986,0.93598,0.6656,0.99574,0.97077,1.02148,0.000458,0.000458,0.000458
34,84.7924,0.9062,1.0009,1.01649,0.89548,0.88927,0.93384,0.68813,0.96642,0.97319,1.01864,0.00043325,0.00043325,0.00043325
35,87.1342,0.89485,1.01357,0.99824,0.91221,0.86338,0.92835,0.68814,0.94805,0.99808,1.02214,0.0004085,0.0004085,0.0004085
36,89.5171,0.88537,1.01792,1.03603,0.86759,0.92814,0.93281,0.69823,0.93186,1.0678,1.03321,0.00038375,0.00038375,0.00038375
37,92.0188,0.90425,1.01252,0.99898,0.88706,0.91309,0.93392,0.71024,0.96789,1.05508,1.02867,0.000359,0.000359,0.000359
38,94.3665,0.87457,0.94739,0.9943,0.89795,0.94518,0.94873,0.72918,0.95914,0.93308,1.01523,0.00033425,0.00033425,0.00033425
39,96.7002,0.84763,1.06338,0.98643,0.94131,0.95447,0.96156,0.73295,0.92915,0.88871,1.00801,0.0003095,0.0003095,0.0003095
40,99.0952,0.87017,1.01202,0.98767,0.95665,0.95202,0.95914,0.70974,0.9086,0.85481,1.00365,0.00028475,0.00028475,0.00028475
41,143.966,0.79778,1.11759,0.98216,0.94741,0.95359,0.95844,0.70223,0.91872,0.86894,1.00814,0.00026,0.00026,0.00026
