epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91436,1.01512,3.5017,1.12066,0.00835,0.92396,0.2912,0.22236,0.7995,3.16043,0.97004,0.00018326,0.00018326,0.00018326
2,18.3703,1.02584,2.38719,1.0904,0.73829,0.26209,0.56564,0.43251,0.91669,2.45927,0.97091,0.000367428,0.000367428,0.000367428
3,26.0078,0.98363,1.83393,1.07633,0.69347,0.54496,0.69965,0.51519,1.00907,1.9735,1.0289,0.000544009,0.000544009,0.000544009
4,33.5465,0.99005,1.66465,1.06482,0.66683,0.63906,0.72793,0.52865,1.01349,1.53381,1.03166,0.000713003,0.000713003,0.000713003
5,40.9722,0.94394,1.57784,1.04718,0.67233,0.78615,0.78035,0.59776,0.9119,1.41951,0.99766,0.000767026,0.000767026,0.000767026
6,48.4718,0.92438,1.43469,1.03126,0.79359,0.79793,0.83204,0.63434,0.94178,1.38149,0.99051,0.000750533,0.000750533,0.000750533
7,55.9662,0.89944,1.38677,1.01597,0.75937,0.81639,0.81662,0.61504,0.88968,1.1598,0.99209,0.00073404,0.00073404,0.00073404
8,63.4435,0.8965,1.3609,1.0083,0.76805,0.83048,0.83395,0.63894,0.91826,1.02924,0.98907,0.000717546,0.000717546,0.000717546
9,70.8834,0.88732,1.27216,1.00031,0.77463,0.89699,0.85975,0.65828,0.87593,0.95463,0.98709,0.000701053,0.000701053,0.000701053
10,78.3793,0.88409,1.32145,1.01976,0.76221,0.87414,0.88221,0.68539,0.84284,1.01095,0.97373,0.000684559,0.000684559,0.000684559
11,85.8604,0.85925,1.22784,1.00629,0.78583,0.89757,0.88507,0.6866,0.85759,0.89433,0.97473,0.000668066,0.000668066,0.000668066
12,93.3672,0.85688,1.16456,1.00247,0.80058,0.85992,0.87656,0.68922,0.85289,0.85442,0.97281,0.000651573,0.000651573,0.000651573
13,100.832,0.82323,1.13371,0.9795,0.80263,0.89743,0.87945,0.67991,0.8929,0.86698,0.96248,0.000635079,0.000635079,0.000635079
