epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,108.213,0.81156,1.11994,0.97495,0.82099,0.90116,0.90194,0.69426,0.87468,0.85936,0.96115,0.000618586,0.000618586,0.000618586
15,115.763,0.83465,1.14905,1.00591,0.88726,0.86412,0.90536,0.69815,0.85975,0.8723,0.96032,0.000602092,0.000602092,0.000602092
16,123.223,0.80824,1.06485,0.97339,0.83494,0.92016,0.90578,0.71167,0.80176,0.78651,0.95264,0.000585599,0.000585599,0.000585599
17,130.703,0.78682,1.04239,0.97212,0.90302,0.81897,0.90557,0.69982,0.84297,0.8074,0.96154,0.000569106,0.000569106,0.000569106
18,138.127,0.81416,1.06274,0.97639,0.85024,0.90856,0.9102,0.6989,0.84066,0.76263,0.95658,0.000552612,0.000552612,0.000552612
19,145.597,0.78881,1.01361,0.97609,0.847,0.89392,0.89724,0.70182,0.81453,0.79599,0.94592,0.000536119,0.000536119,0.000536119
20,153.046,0.75483,0.99458,0.95936,0.85991,0.88421,0.88606,0.68368,0.84403,0.83797,0.95043,0.000519625,0.000519625,0.000519625
21,160.5,0.78465,0.97706,0.96548,0.82887,0.93539,0.9093,0.71987,0.80396,0.77372,0.96304,0.000503132,0.000503132,0.000503132
22,167.895,0.76762,0.95706,0.96264,0.85065,0.90926,0.91597,0.71592,0.79981,0.7888,0.93872,0.000486639,0.000486639,0.000486639
23,175.449,0.77758,0.92856,0.96238,0.87205,0.88903,0.92334,0.72321,0.78814,0.76185,0.93297,0.000470145,0.000470145,0.000470145
24,182.93,0.75194,0.92531,0.94714,0.81946,0.93876,0.9302,0.73304,0.79419,0.73392,0.92971,0.000453652,0.000453652,0.000453652
25,190.972,0.73362,0.88039,0.95531,0.82952,0.93326,0.92464,0.72802,0.7531,0.73768,0.92992,0.000437158,0.000437158,0.000437158
26,199.27,0.76234,0.90093,0.96433,0.89215,0.88271,0.91139,0.71214,0.79726,0.75504,0.93915,0.000420665,0.000420665,0.000420665
27,207.271,0.73747,0.85035,0.95587,0.89971,0.90465,0.93194,0.72709,0.82423,0.70349,0.94229,0.000404172,0.000404172,0.000404172
28,214.876,0.73014,0.84387,0.95006,0.89084,0.94257,0.94224,0.74801,0.80205,0.65444,0.93045,0.000387678,0.000387678,0.000387678
29,222.37,0.70607,0.85825,0.9486,0.89382,0.91356,0.92987,0.74639,0.75959,0.68692,0.92435,0.000371185,0.000371185,0.000371185
30,229.838,0.68536,0.80978,0.94217,0.90996,0.91401,0.92687,0.73886,0.77569,0.65255,0.93987,0.000354691,0.000354691,0.000354691
31,237.254,0.6984,0.82442,0.93829,0.90326,0.92831,0.92814,0.7402,0.76193,0.6831,0.93337,0.000338198,0.000338198,0.000338198
32,244.716,0.7147,0.78826,0.95369,0.90564,0.90716,0.9429,0.75568,0.774,0.66475,0.91772,0.000321705,0.000321705,0.000321705
33,252.06,0.6896,0.77803,0.92781,0.9051,0.91568,0.94569,0.75951,0.75353,0.6396,0.91514,0.000305211,0.000305211,0.000305211
34,259.483,0.69679,0.7973,0.93698,0.8971,0.92575,0.95244,0.77011,0.7434,0.60589,0.9129,0.000288718,0.000288718,0.000288718
35,266.891,0.68115,0.77301,0.9384,0.89814,0.95849,0.96117,0.77099,0.76704,0.61512,0.91754,0.000272224,0.000272224,0.000272224
36,274.34,0.68249,0.79071,0.93508,0.90405,0.92149,0.94911,0.76245,0.74238,0.6464,0.91311,0.000255731,0.000255731,0.000255731
37,281.766,0.68042,0.76485,0.92923,0.91386,0.9345,0.96637,0.76409,0.76191,0.59727,0.91699,0.000239238,0.000239238,0.000239238
38,289.222,0.69245,0.78013,0.94221,0.89461,0.94629,0.95658,0.76783,0.74326,0.60007,0.91352,0.000222744,0.000222744,0.000222744
39,296.687,0.66388,0.75164,0.9333,0.90445,0.93163,0.9478,0.7635,0.73322,0.6093,0.90744,0.000206251,0.000206251,0.000206251
40,304.151,0.66593,0.7401,0.91878,0.90348,0.95542,0.9531,0.77269,0.71848,0.57232,0.90041,0.000189757,0.000189757,0.000189757
41,337.33,0.59967,0.73368,0.89128,0.9255,0.91222,0.95091,0.76239,0.79473,0.62039,0.91531,0.000173264,0.000173264,0.000173264
42,344.571,0.59985,0.75519,0.89057,0.88662,0.95252,0.94697,0.75788,0.7678,0.60164,0.91515,0.000156771,0.000156771,0.000156771
43,351.92,0.58591,0.69973,0.87768,0.9179,0.94356,0.95687,0.77257,0.75525,0.5755,0.92079,0.000140277,0.000140277,0.000140277
44,359.289,0.58022,0.70274,0.88441,0.93046,0.93775,0.95159,0.76718,0.7351,0.5643,0.91377,0.000123784,0.000123784,0.000123784
45,366.627,0.56972,0.70035,0.87178,0.93385,0.93355,0.95027,0.76366,0.74481,0.56334,0.91099,0.00010729,0.00010729,0.00010729
46,373.945,0.56017,0.67704,0.88801,0.9228,0.9475,0.95636,0.77286,0.74621,0.55703,0.90628,9.0797e-05,9.0797e-05,9.0797e-05
47,381.4,0.54977,0.66455,0.87902,0.92334,0.93246,0.95132,0.76563,0.74826,0.56079,0.90627,7.43036e-05,7.43036e-05,7.43036e-05
48,388.782,0.55947,0.66223,0.87824,0.92133,0.94982,0.9519,0.7647,0.74484,0.55336,0.90598,5.78102e-05,5.78102e-05,5.78102e-05
49,396.15,0.53248,0.64273,0.87419,0.92403,0.94784,0.95447,0.7687,0.73347,0.53886,0.9019,4.13168e-05,4.13168e-05,4.13168e-05
50,403.481,0.52827,0.63718,0.8718,0.92686,0.94569,0.95798,0.7731,0.73437,0.5292,0.90112,2.48234e-05,2.48234e-05,2.48234e-05
